amplicon_number	alt_num_left	alt_num_right	OA984024.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite	OD929257.1 Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite	OM389144.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-EHC-111G/2020, complete genome
1	1	1	20	300	100
2	1	1	300	300	100
3	1	1	200	300	100
4	1	1	200	300	100
5	1	1	220	300	100
6	1	1	240	300	100
7	1	1	250	300	100
7	1	2	260	300	100
7	2	1	240	300	100
7	2	2	260	300	100
8	1	1	20	300	100
9	1	1	800	300	100
9	1	2	800	300	100
9	2	1	100	300	100
9	2	2	210	300	100
10	1	1	220	300	100
11	1	1	220	300	100
12	1	1	240	300	100
13	1	1	250	300	100
14	1	1	260	300	100
14	1	2	230	300	100
14	2	1	220	300	100
14	2	2	220	300	100
15	1	1	250	300	100
15	1	2	270	300	100
15	2	1	220	300	100
15	2	2	220	300	100
16	1	1	210	300	100
17	1	1	240	300	100
18	1	1	10	300	100
18	1	2	130	300	100
18	2	1	130	300	100
18	2	2	200	300	100
19	1	1	140	300	100
20	1	1	110	300	100
21	1	1	150	300	100
21	1	2	200	300	100
21	2	1	160	300	100
21	2	2	200	300	100
22	1	1	200	300	100
23	1	1	200	300	100
24	1	1	200	300	100
25	1	1	200	300	100
26	1	1	200	300	100
27	1	1	200	300	100
28	1	1	200	300	100
29	1	1	200	300	100
30	1	1	200	300	100
31	1	1	200	300	100
32	1	1	200	300	100
33	1	1	200	300	100
34	1	1	200	300	100
35	1	1	200	300	100
36	1	1	200	300	100
37	1	1	200	300	100
38	1	1	200	300	100
39	1	1	200	300	100
40	1	1	200	300	100
41	1	1	200	300	100
42	1	1	200	300	100
43	1	1	200	300	100
44	1	1	200	300	100
44	1	2	200	300	100
44	2	1	200	300	100
44	2	2	200	300	100
45	1	1	200	300	100
45	1	2	200	300	100
45	2	1	200	300	100
45	2	2	200	300	100
46	1	1	200	300	100
46	1	2	200	300	100
46	2	1	200	300	100
46	2	2	200	300	100
47	1	1	200	300	100
48	1	1	200	300	100
49	1	1	200	300	100
50	1	1	200	300	100
51	1	1	200	300	100
52	1	1	200	300	100
53	1	1	200	300	100
54	1	1	200	300	100
55	1	1	200	300	100
56	1	1	200	300	100
57	1	1	200	300	100
58	1	1	200	300	100
59	1	1	200	300	100
60	1	1	200	300	100
61	1	1	200	300	100
62	1	1	200	300	100
63	1	1	200	300	100
64	1	1	200	300	100
65	1	1	200	300	100
66	1	1	200	300	100
67	1	1	200	300	100
68	1	1	200	300	100
69	1	1	200	300	100
70	1	1	200	300	100
71	1	1	200	300	100
72	1	1	200	300	100
73	1	1	200	300	100
74	1	1	200	300	100
75	1	1	200	300	100
76	1	1	200	300	100
76	1	2	200	300	100
76	2	1	200	300	100
76	2	2	200	300	100
77	1	1	200	300	100
78	1	1	200	300	100
79	1	1	200	300	100
80	1	1	200	300	100
81	1	1	200	300	100
82	1	1	200	300	100
83	1	1	200	300	100
84	1	1	200	300	100
85	1	1	200	300	100
86	1	1	200	300	100
87	1	1	200	300	100
88	1	1	200	300	100
89	1	1	200	300	100
89	1	2	200	300	100
89	2	1	200	300	100
89	2	2	200	300	100
90	1	1	200	300	100
91	1	1	200	300	100
92	1	1	200	300	100
93	1	1	200	300	100
94	1	1	200	300	100
95	1	1	200	300	100
96	1	1	200	300	100
97	1	1	200	300	100
98	1	1	200	300	100
